model_code	model_id	model_initial_id	model_name	model_quarter
MOD_200001	-40001	1	Лестницы раскладные и универсальные	-4.0
MOD_200002	-40002	2	Лестницы для крыши	-4.0
MOD_200003	-40003	3	Аксессуары для лестниц	-4.0
MOD_200004	-40004	4	Прицепы	-4.0
MOD_200005	-40005	5	Бетоносмесители электрические	-4.0
MOD_200006	-40006	6	Бензиновые бетономешалки	-4.0
MOD_200007	-40007	7	Бытовые и профессиональные строительные леса	-4.0
MOD_200008	-40008	8	Вышки-туры	-4.0
MOD_200009	-40009	9	Колеса (строительные леса и тачки)	-4.0
MOD_200010	-40010	10	Козлы строительные	-4.0
MOD_200011	-40011	11	Телескопическая стойка	-4.0
MOD_200012	-40012	12	Строительные тачки	-4.0
MOD_200013	-40013	13	Бак (контейнер для строительного мусора)	-4.0
MOD_200014	-40014	14	Цемент	-4.0
MOD_200015	-40015	15	Известь	-4.0
MOD_200016	-40016	16	Бетон	-4.0
MOD_200017	-40017	17	Сухая кладочная смесь	-4.0
MOD_200018	-40018	18	Клей-раствор	-4.0
MOD_200019	-40019	19	Смеси для выравнивания	-4.0
MOD_200020	-40020	20	Монтажные и строительные клеи	-4.0
MOD_200021	-40021	21	Ускоритель твердения цементных растворов	-4.0
MOD_200022	-40022	22	Средство против плесени	-4.0
MOD_200023	-40023	23	Моющее средство	-4.0
MOD_200024	-40024	24	Масло для распалубки бетона	-4.0
MOD_200025	-40025	25	Краситель	-4.0
MOD_200026	-40026	26	Уголки и маячки строительные	-4.0
MOD_200027	-40027	27	Доска для опалубки	-4.0
MOD_200028	-40028	28	Бетонные балки	-4.0
MOD_200029	-40029	29	Бетонные блоки	-4.0
MOD_200030	-40030	30	Перемычка	-4.0
MOD_200031	-40031	31	Блоки ячеистые	-4.0
MOD_200032	-40032	32	Кирпич	-4.0
MOD_200033	-40033	33	Необработанная и ламинированная древесина	-4.0
MOD_200034	-40034	34	Тент и пленка строительная	-4.0
MOD_200035	-40035	35	Сетка армирующая металлическая	-4.0
MOD_200036	-40036	36	Трубопроводная гофра	-4.0
MOD_200037	-40037	37	Черепица керамическая и бетонная	-4.0
MOD_200038	-40038	38	Аксессуары для шифера	-4.0
MOD_200039	-40039	39	Аксессуары для кровельной гидроизоляции	-4.0
MOD_200040	-40040	40	Кровля из металла	-4.0
MOD_200041	-40041	41	Изолированная сэндвич-панель	-4.0
MOD_200042	-40042	42	Кровля волновая	-4.0
MOD_200043	-40043	43	Кровля из поликарбоната	-4.0
MOD_200045	-40045	45	Светопрозрачная кровля из ПВХ и полиэстера	-4.0
MOD_200046	-40046	46	Покрытие иметирующее черепицу	-4.0
MOD_200047	-40047	47	Битумная черепица	-4.0
MOD_200048	-40048	48	Плита под черепицу и битумная черепица	-4.0
MOD_200049	-40049	49	Защита под кровлю	-4.0
MOD_200050	-40050	50	Подкровельный сайдинг	-4.0
MOD_200051	-40051	51	Битумная рулонная гидроизоляция	-4.0
MOD_200052	-40052	52	Гидроизоляция	-4.0
MOD_200053	-40053	53	Аксессуары для керамической черепицы	-4.0
MOD_200054	-40054	54	Водосточный профиль	-4.0
MOD_200055	-40055	55	Комплектующие для водостока и водоотведения	-4.0
MOD_200056	-40056	56	Канал для водоотвода	-4.0
MOD_200057	-40057	57	Сифон	-4.0
MOD_200058	-40058	58	Люк	-4.0
MOD_200059	-40059	59	Подземный резервуар	-4.0
MOD_200060	-40060	60	Внешний резервуар	-4.0
MOD_200061	-40061	61	Резервуар для септика	-4.0
MOD_200062	-40062	62	Аксессуары инспекционной камеры септика	-4.0
MOD_200063	-40063	63	Фильтрационные материалы для септиков	-4.0
MOD_200064	-40064	64	Люки для горловин септиков	-4.0
MOD_200065	-40065	65	Труба дренажная	-4.0
MOD_200066	-40066	66	Водосточная труба	-4.0
MOD_200067	-40067	67	Канализация внешняя	-4.0
MOD_200068	-40068	68	Уплотнитель для заглушки и эксцентрического переходника	-4.0
MOD_200069	-40069	69	Водосточный желоб и водосточная труба	-4.0
MOD_200070	-40070	70	Гидроизоляционные ленты	-4.0
MOD_200071	-40071	71	Изоляция из пенополистирола	-4.0
MOD_200072	-40072	72	Изоляция из экструдированного полистирола (XPS)	-4.0
MOD_200073	-40073	73	Изоляция из минеральной ваты	-4.0
MOD_200074	-40074	74	Теплоотражающая изоляция	-4.0
MOD_200075	-40075	75	Шумоизоляция	-4.0
MOD_200076	-40076	76	Изоляция из полиуретана	-4.0
MOD_200077	-40077	77	Изоляция	-4.0
MOD_200078	-40078	78	Наружная система изоляции	-4.0
MOD_200079	-40079	79	Изоляция под обшивку	-4.0
MOD_200080	-40080	80	Аксессуары для каркасной изоляции	-4.0
MOD_200081	-40081	81	Изоляционная мембрана	-4.0
MOD_200082	-40082	82	Гидроизоляционные аксессуары	-4.0
MOD_200083	-40083	83	Плиты гипсовые	-4.0
MOD_200084	-40084	84	Деревянные панели и плиты	-4.0
MOD_200085	-40085	85	Подложка	-4.0
MOD_200086	-40086	86	Гипсовая плитка	-4.0
MOD_200087	-40087	87	Плита потолочная	-4.0
MOD_200088	-40088	88	Профиль металлический	-4.0
MOD_200089	-40089	89	Стеклоблоки	-4.0
MOD_200090	-40090	90	Распорка	-4.0
MOD_200091	-40091	91	Специальная часть (окно и панель)	-4.0
MOD_200092	-40092	92	Комплект внутреннего камина	-4.0
MOD_200094	-40094	94	Пеллеты	-4.0
MOD_200095	-40095	95	Уголь	-4.0
MOD_200096	-40096	96	Топка каминная	-4.0
MOD_200097	-40097	97	Топка каминнная на пеллетах	-4.0
MOD_200098	-40098	98	Камин с водяным контуром	-4.0
MOD_200099	-40099	99	Топка на дровах	-4.0
MOD_200100	-40100	100	Топка на гранулах	-4.0
MOD_200101	-40101	101	Биокамины	-4.0
MOD_200102	-40102	102	Материалы и аксессуары для установки каминов	-4.0
MOD_200103	-40103	103	Дымоотвод	-4.0
MOD_200104	-40104	104	Аксессуары для соедения видимой вентиляции	-4.0
MOD_200105	-40105	105	Неутеплённый дымоход	-4.0
MOD_200106	-40106	106	Аксессуары для неутеплённого дымохода	-4.0
MOD_200107	-40107	107	Утепленный дымоход	-4.0
MOD_200108	-40108	108	Аксессуары для утеплённого дымохода	-4.0
MOD_200109	-40109	109	Зонт	-4.0
MOD_200110	-40110	110	Воздуховод	-4.0
MOD_200111	-40111	111	Устройства подачи горячего воздуха	-4.0
MOD_200112	-40112	112	Конфузор	-4.0
MOD_200113	-40113	113	Наружная топка	-4.0
MOD_200114	-40114	114	Мультитопливный камин	-4.0
MOD_200115	-40115	115	Котлы на твердом топливе	-4.0
MOD_200116	-40116	116	Пеллетная печь с водяным контуром	-4.0
MOD_200117	-40117	117	Печь	-4.0
MOD_200118	-40118	118	Металлический камин	-4.0
MOD_200119	-40119	119	Каменная или металлическая облицовка камина	-4.0
MOD_200120	-40120	120	Аксессуары для отопительноего оборудования на биомассе	-4.0
MOD_200121	-40121	121	Дымовая труба	-4.0
MOD_200122	-40122	122	Дрова	-4.0
MOD_200123	-40123	123	Облицовка стен	-4.0
MOD_200124	-40124	124	Затирка для кирпичной облицовки	-4.0
MOD_200127	-40127	127	Сайдинг	-4.0
MOD_200128	-40128	128	Аксессуары для сайдинга	-4.0
MOD_200129	-40129	129	плитка из натурального камня	-4.0
MOD_200130	-40130	130	Элемент строительных лесов	-4.0
MOD_200131	-40131	131	Мешки для строительного мусора	-4.0
MOD_200132	-40132	132	Сыпучие материалы	-4.0
MOD_200133	-40133	133	Дробленый мрамор	-4.0
MOD_200134	-40134	134	Средство борьбы со льдом	-4.0
MOD_200135	-40135	135	Пластификатор	-4.0
MOD_200136	-40136	136	Очищающее средство	-4.0
MOD_200137	-40137	137	Знаки безопасности	-4.0
MOD_200138	-40138	138	Арматура	-4.0
MOD_200139	-40139	139	Проволока вязальная	-4.0
MOD_200140	-40140	140	Сланцевая кровля и фиброцемент	-4.0
MOD_200141	-40141	141	Аксессуары для кровли из металла	-4.0
MOD_200142	-40142	142	Аксессуары для сендвич-панелей	-4.0
MOD_200144	-40144	144	Кровля из металлочерепицы	-4.0
MOD_200145	-40145	145	Софит-сайдинг из ПВХ и дерева	-4.0
MOD_200146	-40146	146	Аксессуары для горловины септиков	-4.0
MOD_200147	-40147	147	Аксессуары для септиков	-4.0
MOD_200148	-40148	148	Потолочный гипсовый молдинг	-4.0
MOD_200149	-40149	149	Профиль для стеклоблока	-4.0
MOD_200150	-40150	150	Клейкий монтаж жестких дымоотводов	-4.0
MOD_200151	-40151	151	Химическая чистка дымохода	-4.0
MOD_200152	-40152	152	Механическая чистка дымохода	-4.0
MOD_200153	-40153	153	Средство для розжига углей	-4.0
MOD_200154	-40154	154	Уплотнительный шнур	-4.0
MOD_200156	-40156	156	Плинтус	-4.0
MOD_200157	-40157	157	Настил	-4.0
MOD_200158	-40158	158	Декор для двери	-4.0
MOD_200159	-40159	159	Межкомнатная перегородка	-4.0
MOD_200160	-40160	160	Кромки	-4.0
MOD_200161	-40161	161	Шпонированная плита	-4.0
MOD_200162	-40162	162	Полотна из натуральных материалов	-4.0
MOD_200163	-40163	163	Рейки, бруски, доски	-4.0
MOD_200165	-40165	165	Плинтус и отделочные профили	-4.0
MOD_200166	-40166	166	Деревянные панели для стен и потолка	-4.0
MOD_200169	-40169	169	Стеновая декоративная 3d панель	-4.0
MOD_200175	-40175	175	Панели ПВХ двухсторонние	-4.0
MOD_200176	-40176	176	Зажим для деревянных панелей	-4.0
MOD_200177	-40177	177	Кляймеры (крепеж)	-4.0
MOD_200178	-40178	178	Балка	-4.0
MOD_200179	-40179	179	Полиуретановая консоль	-4.0
MOD_200180	-40180	180	Шпаклевка по дереву	-4.0
MOD_200181	-40181	181	Минеральное стекло	-4.0
MOD_200182	-40182	182	Синтетическое стекло	-4.0
MOD_200184	-40184	184	межкомнатная перегородка со стеклом	-4.0
MOD_200185	-40185	185	Навес с выдвижным рычагом	-4.0
MOD_200186	-40186	186	Навес для балконного окна	-4.0
MOD_200187	-40187	187	Полотно для навеса	-4.0
MOD_200188	-40188	188	Рулонная москитная сетка	-4.0
MOD_200189	-40189	189	Раздвижная москитная сетка	-4.0
MOD_200190	-40190	190	Рамочная москитная сетка	-4.0
MOD_200191	-40191	191	Москитная сетка на петлях	-4.0
MOD_200192	-40192	192	Москитная штора	-4.0
MOD_200193	-40193	193	Полотно для москитной сетки	-4.0
MOD_200195	-40195	195	Секционные гаражные ворота	-4.0
MOD_200196	-40196	196	Роллетные гаражные ворота	-4.0
MOD_200197	-40197	197	Сдвижные гаражные ворота	-4.0
MOD_200198	-40198	198	Створчатые гаражные ворота	-4.0
MOD_200199	-40199	199	Гаражные ворота в французском стиле	-4.0
MOD_200200	-40200	200	Мансардное окно	-4.0
MOD_200201	-40201	201	Световой люк	-4.0
MOD_200202	-40202	202	Ставни для мансардного окна	-4.0
MOD_200203	-40203	203	Аксессуары для мансардных окон	-4.0
MOD_200204	-40204	204	Козырек	-4.0
MOD_200205	-40205	205	Специальные окна	-4.0
MOD_200207	-40207	207	Окна и двери из ПВХ с жалюзи	-4.0
MOD_200208	-40208	208	Окна и двери без ставней	-4.0
MOD_200209	-40209	209	Раздвижные алюминиевые окна и двери без ставней	-4.0
MOD_200211	-40211	211	Раздвижные алюминиевые окна с жалюзи	-4.0
MOD_200212	-40212	212	Жалюзи и роллставни	-4.0
MOD_200213	-40213	213	Створчатые ставни	-4.0
MOD_200214	-40214	214	Аксессуары для внешней отделки	-4.0
MOD_200215	-40215	215	Веранда	-4.0
MOD_200216	-40216	216	Входная или служебная дверь	-4.0
MOD_200217	-40217	217	Оклады для мансардных окон	-4.0
MOD_200218	-40218	218	Штора для мансардного окна	-4.0
MOD_200219	-40219	219	Алюминиевое окно	-4.0
MOD_200220	-40220	220	Электропривод для жалюзи/роллставней	-4.0
MOD_200221	-40221	221	Техническая дверь	-4.0
MOD_200222	-40222	222	Ревизионный лючок	-4.0
MOD_200223	-40223	223	Внутренний дверной блок	-4.0
MOD_200224	-40224	224	Дверная коробка и регулируемая дверная коробка	-4.0
MOD_200225	-40225	225	Дверь для дверной коробки и регулируемой дверной коробки	-4.0
MOD_200226	-40226	226	Дверь межкомнатная (раздвижная)	-4.0
MOD_200227	-40227	227	Дверь межкомнатная (гармошка)	-4.0
MOD_200228	-40228	228	Панель для раздвижных дверей	-4.0
MOD_200229	-40229	229	Аксессуары для отделки дверей	-4.0
MOD_200230	-40230	230	Распашная стеклянная дверь	-4.0
MOD_200232	-40232	232	Направляющие для раздвижных дверей	-4.0
MOD_200233	-40233	233	Перегородка для раздвижных дверей	-4.0
MOD_200234	-40234	234	Ручки и аксессуары для раздвижных дверей	-4.0
MOD_200235	-40235	235	Технический плинтус	-4.0
MOD_200236	-40236	236	Кронштейн для крепления двери	-4.0
MOD_200237	-40237	237	Ручка для раздвижной двери	-4.0
MOD_200238	-40238	238	Плитные и листовые материалы	-4.0
MOD_200239	-40239	239	Мебельная панель	-4.0
MOD_200240	-40240	240	Столешница	-4.0
MOD_200241	-40241	241	Чердачные лестницы	-4.0
MOD_200242	-40242	242	Межэтажные лестницы	-4.0
MOD_200243	-40243	243	Балясины и столбы	-4.0
MOD_200244	-40244	244	Крепление для балясин	-4.0
MOD_200245	-40245	245	Фурнитура для лестниц	-4.0
MOD_200246	-40246	246	Перила и комплектующие	-4.0
MOD_200247	-40247	247	Система ограждений	-4.0
MOD_200248	-40248	248	Защитный барьер для детей	-4.0
MOD_200249	-40249	249	Деревянные клины	-4.0
MOD_200250	-40250	250	Ламель и ламеледержатель	-4.0
MOD_200251	-40251	251	Изоляция для стены	-4.0
MOD_200252	-40252	252	Парусина для беседки	-4.0
MOD_200253	-40253	253	Усиленный профиль для дверных проемов	-4.0
MOD_200254	-40254	254	Балконное мансардное окно	-4.0
MOD_200255	-40255	255	Плитка (из алюминия)	-4.0
MOD_200256	-40256	256	Декорирование балки	-4.0
MOD_200257	-40257	257	Раздвижные окна и рамы из ПВХ	-4.0
MOD_200258	-40258	258	Иллюминатор	-4.0
MOD_200259	-40259	259	Солнечная батарея	-4.0
MOD_200260	-40260	260	Фотоэлектрические комплекты электроснабжения	-4.0
MOD_200261	-40261	261	Подставка для солнечной батареи или для ветроустановки	-4.0
MOD_200262	-40262	262	Ветровые турбины	-4.0
MOD_200263	-40263	263	Комплекты для ветровых турбин	-4.0
MOD_200264	-40264	264	Комплект солнечной батареи с креплением для светильника	-4.0
MOD_200265	-40265	265	Лопасти для ветровых турбин	-4.0
MOD_200266	-40266	266	Преобразователи для возобновляемых источников электроэнергии	-4.0
MOD_200267	-40267	267	Конвекторы	-4.0
MOD_200268	-40268	268	Контроллеры заряда	-4.0
MOD_200269	-40269	269	Терморегулятор	-4.0
MOD_200270	-40270	270	Метеостанции	-4.0
MOD_200271	-40271	271	Часы-метеостанция	-4.0
MOD_200272	-40272	272	Наружные датчики для метеостанций	-4.0
MOD_200273	-40273	273	Термометры и гидрометры	-4.0
MOD_200274	-40274	274	Жидкостные накопительные радиаторы	-4.0
MOD_200275	-40275	275	Каменные накопительные радиаторы	-4.0
MOD_200276	-40276	276	Чугунные накопительные радиаторы	-4.0
MOD_200277	-40277	277	Радиаторы с двойной системой отопления	-4.0
MOD_200278	-40278	278	Варочные панели	-4.0
MOD_200279	-40279	279	Электрические полотенцесушители жидкостные	-4.0
MOD_200280	-40280	280	Полотенцесушитель электрический	-4.0
MOD_200281	-40281	281	Комбинированные полотенцесушители	-4.0
MOD_200282	-40282	282	Электрообогреватель	-4.0
MOD_200283	-40283	283	Электрогрелки для ног	-4.0
MOD_200284	-40284	284	Конвекторы электрические стационарные	-4.0
MOD_200285	-40285	285	Электрические обогреватели	-4.0
MOD_200286	-40286	286	Мобильный электронагреватель	-4.0
